column,group,use_as_early_detection_feature,allowed_roles,reason,source
cycle_run_id,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,original
cycle_order,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,original
start_time,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,added
end_time,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,added
start_time_unix,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,added
target_4class,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,original
missing_count,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,original
final_part_count,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,original
label_block_id,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,original
time_block_id,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,original
duration_sec,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,original
n_rows,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,original
normal_label_source,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,original
normal_needs_validation,meta,-,규칙에 따라 사용,ID/라벨/시간/블록,original
I_SafetyDoor1_Status__ntrans,event_added,yes,조기탐지 입력 피처로 사용 가능,v2 추가 시간·이벤트 요약,added
I_SafetyDoor1_Status__false_ratio,event_added,yes,조기탐지 입력 피처로 사용 가능,v2 추가 시간·이벤트 요약,added
I_SafetyDoor2_Status__ntrans,event_added,yes,조기탐지 입력 피처로 사용 가능,v2 추가 시간·이벤트 요약,added
I_SafetyDoor2_Status__false_ratio,event_added,yes,조기탐지 입력 피처로 사용 가능,v2 추가 시간·이벤트 요약,added
I_MHS_GreenRocketTray__ntrans,event_added,yes,조기탐지 입력 피처로 사용 가능,v2 추가 시간·이벤트 요약,added
I_MHS_GreenRocketTray__detect_ratio,event_added,yes,조기탐지 입력 피처로 사용 가능,v2 추가 시간·이벤트 요약,added
Q_VFD2_Temperature__mean,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__std,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__min,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__max,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__median,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__range,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__first,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__last,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__last_minus_first,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__diff_mean,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__diff_std,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__diff_abs_sum,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__diff_max,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD2_Temperature__imputed_ratio,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD3_Temperature__mean,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD3_Temperature__std,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD3_Temperature__min,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD3_Temperature__max,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD3_Temperature__median,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD3_Temperature__range,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD3_Temperature__first,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD3_Temperature__last,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD3_Temperature__last_minus_first,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD3_Temperature__diff_mean,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
Q_VFD3_Temperature__diff_std,feature_safe,yes,조기탐지 입력 피처로 사용,누수 위험 없는 센서 요약(VFD1~4 포함),added
